Datum tenaamstelling,Brandstof omschrijving,Kenteken
1995-05-15,LPG,39
1995-05-15,Benzine,906
1995-05-17,Diesel,151
1995-05-17,Benzine,907
1995-05-18,Diesel,153
1995-05-18,Benzine,913
1995-05-19,Benzine,915
1995-05-22,Benzine,916
1995-05-22,Diesel,154
1995-05-24,Benzine,917
1995-05-24,Diesel,155
1995-05-29,Diesel,156
1995-05-30,Benzine,921
1995-06-02,Benzine,922
1995-06-06,Benzine,923
1995-06-10,Benzine,925
1995-06-12,Benzine,926
1995-06-13,Benzine,928
1995-06-14,Diesel,157
1995-06-14,Benzine,931
1995-06-16,Diesel,158
1995-06-16,Benzine,933
1995-06-20,Diesel,159
1995-06-22,LPG,40
1995-06-22,Benzine,934
1995-06-23,Benzine,935
1995-06-27,Benzine,936
1995-06-28,Benzine,937
1995-06-30,Benzine,938
1995-07-03,Benzine,941
1995-07-06,Benzine,942
1995-07-06,LPG,41
1995-07-06,Diesel,160
1995-07-10,Benzine,943
1995-07-12,Benzine,945
1995-07-14,Benzine,949
1995-07-15,Benzine,950
1995-07-17,Benzine,951
1995-07-17,LPG,42
1995-07-18,Benzine,953
1995-07-19,Benzine,954
1995-07-20,Benzine,955
1995-07-21,Benzine,956
1995-07-22,Benzine,958
1995-07-24,Benzine,959
1995-07-25,Benzine,960
1995-07-26,Benzine,961
1995-07-27,Benzine,963
1995-07-28,Benzine,964
1995-07-29,Benzine,965
1995-08-01,Diesel,161
1995-08-01,Benzine,966
1995-08-03,Benzine,967
1995-08-04,Benzine,968
1995-08-05,Benzine,970
1995-08-07,LPG,43
1995-08-11,Benzine,972
1995-08-14,Benzine,973
1995-08-15,Benzine,974
1995-08-15,Diesel,162
1995-08-16,Benzine,975
1995-08-17,Benzine,976
1995-08-22,Benzine,977
1995-08-23,LPG,44
1995-08-24,Benzine,978
1995-09-05,Benzine,979
1995-09-07,Benzine,981
1995-09-08,Diesel,163
1995-09-11,Benzine,982
1995-09-13,Diesel,164
1995-09-13,Benzine,984
