Datum tenaamstelling,Brandstof omschrijving,Kenteken
2002-07-31,Benzine,4420
2002-08-01,Benzine,4423
2002-08-02,Diesel,631
2002-08-02,Benzine,4431
2002-08-03,Benzine,4433
2002-08-05,Benzine,4437
2002-08-06,Benzine,4439
2002-08-06,Diesel,632
2002-08-07,Benzine,4440
2002-08-08,Benzine,4441
2002-08-09,Benzine,4443
2002-08-10,Benzine,4445
2002-08-12,Diesel,633
2002-08-13,Benzine,4447
2002-08-14,Benzine,4452
2002-08-15,Benzine,4459
2002-08-16,Benzine,4467
2002-08-19,Diesel,634
2002-08-19,Benzine,4470
2002-08-20,Benzine,4474
2002-08-21,Benzine,4477
2002-08-22,Diesel,635
2002-08-22,Benzine,4479
2002-08-23,Diesel,637
2002-08-23,Benzine,4481
2002-08-24,Diesel,638
2002-08-24,Benzine,4483
2002-08-26,Benzine,4484
2002-08-26,Diesel,639
2002-08-27,Diesel,640
2002-08-28,Benzine,4490
2002-08-29,LPG,117
2002-08-29,Benzine,4492
2002-08-30,Diesel,642
2002-08-30,Benzine,4499
2002-09-02,Benzine,4503
2002-09-03,Benzine,4505
2002-09-04,Benzine,4509
2002-09-05,Diesel,643
2002-09-06,Diesel,644
2002-09-06,Benzine,4515
2002-09-07,Benzine,4518
2002-09-07,Diesel,645
2002-09-10,Benzine,4521
2002-09-10,Diesel,646
2002-09-11,Benzine,4522
2002-09-11,Diesel,649
2002-09-12,Benzine,4524
2002-09-12,Diesel,650
2002-09-13,Benzine,4528
2002-09-14,Benzine,4529
2002-09-16,Diesel,652
2002-09-16,Benzine,4535
2002-09-18,Benzine,4537
2002-09-19,Benzine,4543
2002-09-20,Benzine,4559
2002-09-23,Benzine,4561
2002-09-23,Diesel,653
2002-09-24,Benzine,4566
2002-09-25,Diesel,655
2002-09-25,Benzine,4574
2002-09-25,LPG,118
2002-09-26,Benzine,4576
2002-09-27,Benzine,4581
2002-09-30,Benzine,4586
2002-10-01,Benzine,4588
2002-10-01,Diesel,658
2002-10-02,Benzine,4592
2002-10-03,Benzine,4597
2002-10-04,Diesel,659
2002-10-04,Benzine,4604
2002-10-05,Benzine,4606
2002-10-07,Benzine,4608
2002-10-08,Diesel,660
2002-10-08,Benzine,4612
2002-10-09,Diesel,661
2002-10-09,Benzine,4614
2002-10-10,Benzine,4619
2002-10-11,Benzine,4627
2002-10-12,Diesel,663
2002-10-12,Benzine,4628
2002-10-14,Benzine,4629
2002-10-15,Diesel,665
2002-10-16,Benzine,4635
2002-10-17,Diesel,667
2002-10-17,Benzine,4643
2002-10-18,Diesel,669
2002-10-18,Benzine,4662
2002-10-19,Benzine,4663
2002-10-21,Benzine,4667
2002-10-22,Benzine,4669
2002-10-23,Benzine,4674
2002-10-24,Benzine,4682
2002-10-25,Diesel,671
2002-10-25,Benzine,4693
