Datum tenaamstelling,Kenteken,Brandstof omschrijving,Voertuigsoort,Merk,Handelsbenaming
2018-05-09,1060,1060,1060,1060,1060
2018-05-10,50,50,50,50,50
2018-05-11,1143,1143,1143,1143,1143
2018-05-12,447,447,447,447,447
2018-05-13,27,27,27,27,27
2018-05-14,869,869,869,869,868
2018-05-15,869,869,869,869,868
2018-05-16,936,936,936,936,936
2018-05-17,953,953,953,953,953
2018-05-18,1401,1401,1401,1401,1401
2018-05-19,603,603,603,603,603
2018-05-20,11,11,11,11,11
2018-05-21,75,75,75,75,75
2018-05-22,852,852,852,852,852
2018-05-23,903,903,903,903,899
2018-05-24,1037,1037,1037,1037,1034
2018-05-25,1508,1508,1508,1508,1508
2018-05-26,585,585,585,585,584
2018-05-27,33,33,33,33,33
2018-05-28,882,882,882,882,882
2018-05-29,840,840,840,840,840
2018-05-30,1063,1063,1063,1063,1063
2018-05-31,1597,1597,1597,1597,1597
2018-06-01,1366,1366,1366,1366,1364
2018-06-02,642,642,642,642,640
2018-06-03,42,42,42,42,42
2018-06-04,760,760,760,760,759
2018-06-05,765,765,765,765,765
2018-06-06,884,884,884,884,884
2018-06-07,1049,1049,1049,1049,1049
2018-06-08,1379,1379,1379,1379,1378
2018-06-09,620,620,620,620,620
2018-06-10,31,31,31,31,31
2018-06-11,808,808,808,808,808
2018-06-12,816,816,816,816,816
2018-06-13,977,977,977,977,977
2018-06-14,1108,1108,1108,1108,1107
2018-06-15,1468,1468,1468,1468,1468
2018-06-16,634,634,634,634,634
2018-06-17,29,29,29,29,29
2018-06-18,780,780,780,780,779
2018-06-19,829,829,829,829,827
2018-06-20,942,942,942,942,941
2018-06-21,1190,1190,1190,1190,1189
2018-06-22,1578,1578,1578,1578,1577
2018-06-23,599,599,599,599,599
2018-06-24,28,28,28,28,28
2018-06-25,854,854,854,854,853
2018-06-26,900,900,900,900,899
2018-06-27,1100,1100,1100,1100,1099
2018-06-28,1385,1385,1385,1385,1381
2018-06-29,2005,2005,2005,2005,2005
2018-06-30,760,760,760,760,760
2018-07-01,28,28,28,28,28
2018-07-02,840,840,840,840,840
2018-07-03,885,885,885,885,885
2018-07-04,989,989,989,989,989
2018-07-05,1284,1284,1284,1284,1284
2018-07-06,1561,1561,1561,1561,1561
2018-07-07,601,601,601,601,601
2018-07-08,26,26,26,26,26
2018-07-09,805,805,805,805,805
2018-07-10,905,905,905,905,905
